artist_id,name,shows,musicals
3255,张贝伊,132,3
3582,王克遥,132,3
3759,高源,132,4
2867,王胜强,129,3
1758,王佳璇,128,2
2220,吴凯泽,128,1
2998,陈思霖,128,2
3260,佘鹏飞,128,2
1118,刘鑫,126,2
1509,杜豪洪,126,3
1658,潘天国,126,2
1862,黄旖,126,3
2869,郑君炽,126,3
3437,王晶莹,126,2
506,徐梦迪,124,4
2025,袁梦轩,124,4
3264,拜荣基,124,4
3293,冯丽冰,124,2
3744,辛未,124,3
3387,唐瑾,123,3
2158,钱可欣,120,5
2464,王凯,120,5
1401,铭亮,118,2
2898,邵斌,117,3
934,丁星辰,116,2
2746,应雨宸,116,4
3218,李京洙,116,1
3263,胡楚浩,116,4
3544,刘星宇,116,1
3557,高奥,116,1
986,饶克勤,114,2
1162,陈膺浩,114,1
3449,姚嘉艺,114,2
3745,张一雅琦,114,3
1255,袁东方,112,4
1325,张艺宝,112,2
3355,黄子俊,112,4
3631,胡杨玉,112,4
306,彭筱涵,111,3
3747,李然,111,3
1160,林燕婷,110,2
3679,朱媛媛,110,2
1396,陈志鹏,108,3
1866,何岳城,108,2
2772,文颖倩,108,2
3298,龚泽镪,108,1
3314,刘珈茵,108,3
2583,陈彦羽,106,2
2781,于畅,106,2
2933,庞雪倩,106,2
3547,杨雨欣,106,1
779,范浩泽,105,2
2673,陈莹,105,2
3240,肖笛,105,3
319,徐茜,104,2
1695,任静怡,104,2
1708,袁帅,104,3
1827,张呈吉,104,3
3454,强雯,104,4
3561,孙晨恺,104,2
324,陈佳佳,102,2
2225,闫栋,102,1
3471,徐嘉乔,102,3
2222,孙紫薇,101,1
2837,田雨,101,1
431,苗宸宇,100,4
1576,周子钧,100,2
2026,徐晓玥,100,2
2511,李雅伦,100,4
3542,姜宇浩,100,1
3844,黄玫,100,4
1595,高小茜,99,2
609,马志睿,98,2
1652,莫玉滢,98,2
2217,袁也,98,2
3415,何子康,98,1
3520,曹闻放,98,2
2640,杜光祎,97,1
460,李嘉骏,96,1
2232,张新川,96,3
2463,李静怡,96,1
2678,赵辰睿,96,2
3226,陈弈鸣,96,2
3668,赵周权,96,4
748,赵梓冲,94,2
898,黎珂儿,94,2
3338,李烨彤,94,1
1778,杨少泽,93,3
2809,仇毓翔,93,3
833,刁梦雪,92,2
1629,贺梦洁,92,2
3584,陈博石,92,4
311,张益群,90,3
1235,陈芙蓉,90,2
2634,秦立夫,90,3
3495,朱冠霖,90,2
3549,郝英杰,90,1
3594,潘彦如,90,2
1175,黄周,88,1
3118,杭筱玥,88,2
3188,俞佳一,88,2
3407,聂冰雁,88,2
2830,索南,87,3
3716,尼玛雍珠,87,3
2942,赵佳琳,86,2
754,杨亚辉,84,1
1036,周校校,84,2
1406,宋煊宁,84,2
2035,葛泽扬,84,2
2098,王艺璇,84,2
3411,马黑凯杰,84,3
3575,俞烁天,84,3
